delta_wave_intensity,theta_wave_intensity,alpha_wave_intensity,beta_wave_intensity,gamma_wave_intensity,delta_wave_entropy,theta_wave_entropy,alpha_wave_entropy,beta_wave_entropy,gamma_wave_entropy,,emotion
0.5,4,8,13,30,0.5,8,13,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,8,13,30,0.5,4,13,13,30,,Anger
0.5,4,8,13,45,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
4,8,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,45,0.5,4,13,13,30,,Neutral
4,8,13,13,30,0.5,8,8,13,35,,Anger
0.5,4,8,13,32,4,8,8,13,30,,Anger
4,8,13,30,30,4,4,13,13,30,,Sad
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,30,30,,Happy
0.5,4,8,13,45,4,8,8,13,30,,Anger
4,4,8,13,30,0.5,8,13,18,30,,Anger
4,4,8,27,30,4,8,13,30,45,,Anger
4,8,13,22,30,0.5,8,13,16,37,,Sad
4,8,13,13,30,4,4,9,13,30,,Anger
0.5,8,13,13,45,4,4,8,13,30,,Anger
0.5,4,12,13,30,4,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,8,13,30,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,45,,Neutral
2,8,13,13,30,4,8,13,13,30,,Neutral
4,4,8,30,45,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,30,4,8,13,13,30,,Anger
0.5,4,8,13,45,0.5,8,8,13,45,,Anger
4,8,13,26,45,0.5,8,13,13,45,,Happy
0.5,4,8,13,30,0.5,8,13,13,30,,Anger
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,8,13,33,,Anger
0.5,8,13,13,45,0.5,4,8,13,30,,Sad
0.5,8,8,13,30,4,4,10,13,30,,Happy
0.5,4,8,13,30,0.5,8,8,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,34,,Neutral
4,4,8,13,30,0.5,8,8,13,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,37,,Neutral
4,8,13,16,30,4,4,13,18,45,,Sad
4,8,13,30,30,4,4,13,13,45,,Sad
4,8,13,30,30,4,8,13,30,30,,Sad
4,8,13,16,42,4,8,13,13,30,,Sad
0.5,8,13,13,30,4,4,13,13,43,,Neutral
4,4,13,13,30,0.5,8,8,30,30,,Sad
0.5,8,8,13,45,0.5,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,14,30,,Anger
4,4,8,30,30,0.5,4,13,13,30,,Anger
0.5,4,8,13,45,0.5,4,13,13,30,,Happy
0.5,8,13,13,30,4,4,8,13,32,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,13,19,30,4,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,4,8,13,35,4,4,13,30,45,,Anger
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,8,13,13,45,0.5,4,13,13,45,,Neutral
4,4,8,30,30,4,8,13,30,30,,Anger
4,4,8,30,33,0.5,4,13,13,45,,Anger
0.5,4,8,13,30,4,8,13,13,45,,Sad
0.5,4,8,13,30,4,8,8,13,30,,Anger
3,8,12,13,30,0.5,8,13,30,30,,Anger
0.5,4,8,13,45,0.5,8,13,13,45,,Sad
4,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,30,4,8,8,30,30,,Sad
0.5,4,8,13,45,4,4,8,13,30,,Happy
0.5,8,12,13,30,0.5,8,8,30,45,,Happy
4,8,13,30,30,4,4,13,30,45,,Happy
0.5,8,13,13,30,0.5,8,13,22,45,,Anger
0.5,4,8,13,30,0.5,8,13,28,45,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,35,4,4,8,18,35,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,13,30,0.5,4,8,13,40,,Anger
0.5,4,8,13,30,4,4,13,13,30,,Anger
4,4,8,30,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,4,8,13,30,,Anger
4,8,8,13,37,0.5,4,8,13,45,,Happy
4,5,8,30,30,4,8,8,13,30,,Anger
3,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,4,8,13,30,4,4,13,13,45,,Sad
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
0.5,4,8,13,30,4,8,13,30,30,,Anger
0.5,4,8,13,30,0.5,8,13,30,30,,Anger
4,8,13,30,30,4,8,8,13,30,,Sad
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,4,8,13,30,4,4,13,13,45,,Sad
0.5,8,13,13,30,4,4,8,30,30,,Happy
4,8,11,30,30,0.5,8,13,22,30,,Anger
4,4,8,27,45,4,4,13,30,30,,Anger
4,4,8,13,45,4,4,8,13,30,,Anger
0.5,4,13,13,30,4,4,13,13,45,,Neutral
0.5,4,8,13,30,4,4,10,13,30,,Happy
4,8,13,30,30,4,4,8,30,30,,Sad
0.5,4,8,13,45,0.5,8,8,30,45,,Anger
0.5,4,8,13,45,4,4,8,13,30,,Happy
0.5,8,8,13,30,0.5,4,8,13,30,,Happy
4,8,13,30,45,4,8,13,30,30,,Anger
4,8,11,30,30,0.5,8,13,22,30,,Anger
4,8,13,30,45,0.5,8,8,13,45,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
4,4,8,13,30,4,8,8,13,30,,Happy
0.5,4,8,13,30,2,8,8,13,30,,Anger
4,4,13,30,45,0.5,4,8,13,30,,Sad
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,5,8,13,33,4,4,8,13,30,,Happy
0.5,4,8,13,45,0.5,8,13,13,30,,Anger
0.5,8,13,13,42,0.5,8,13,13,30,,Neutral
4,8,13,30,45,0.5,8,8,13,30,,Sad
4,8,13,30,32,0.5,4,8,30,30,,Sad
4,8,13,30,45,4,6,13,30,45,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,5,8,15,30,3,8,8,29,30,,Anger
0.5,8,13,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,4,8,8,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,13,30,45,4,8,13,30,30,,Sad
4,8,13,13,42,4,4,13,13,30,,Neutral
0.5,8,13,13,30,1,8,8,13,30,,Anger
4,4,13,13,30,4,4,13,13,40,,Neutral
4,8,13,30,30,4,6,9,30,30,,Sad
4,4,8,30,30,4,8,13,30,32,,Anger
4,8,13,13,35,0.5,4,8,15,30,,Anger
4,8,8,30,45,4,8,13,13,45,,Happy
4,8,13,30,44,4,4,13,13,30,,Sad
0.5,8,8,13,30,0.5,8,8,13,45,,Happy
0.5,8,13,13,45,0.5,8,13,13,45,,Neutral
4,8,13,30,30,0.5,8,13,13,30,,Sad
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,18,30,,Anger
0.5,8,13,13,30,0.5,4,8,14,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,8,13,13,45,0.5,8,13,30,45,,Anger
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,4,8,13,45,0.5,8,8,13,45,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,8,13,30,30,4,8,13,13,45,,Happy
4,8,13,30,30,4,4,13,13,30,,Sad
4,8,13,30,30,4,4,8,13,45,,Anger
0.5,4,8,13,30,4,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,4,8,30,30,,Sad
0.5,4,8,13,30,4,8,8,13,30,,Anger
4,8,13,30,30,4,4,11,13,30,,Sad
4,4,8,30,45,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,45,,Neutral
4,8,13,13,30,0.5,4,12,13,30,,Sad
4,8,13,30,30,4,8,13,30,30,,Sad
4,8,13,30,30,0.5,4,13,13,30,,Anger
4,4,8,13,30,4,8,9,30,30,,Anger
0.5,4,8,13,45,0.5,8,13,30,30,,Anger
0.5,4,8,13,30,4,4,8,13,45,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,39,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,14,30,4,8,8,30,30,,Anger
4,4,8,30,30,4,4,13,13,45,,Anger
0.5,8,11,13,32,4,4,8,13,30,,Happy
4,4,8,27,30,4,8,13,28,30,,Anger
4,4,8,30,30,4,4,8,13,45,,Anger
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
4,4,8,30,30,0.5,8,8,13,30,,Anger
3,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,45,0.5,4,13,30,30,,Anger
0.5,8,13,13,45,0.5,8,13,13,30,,Neutral
4,4,8,30,30,0.5,8,13,13,45,,Anger
0.5,4,13,13,30,4,4,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,34,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,13,30,30,,Anger
0.5,8,13,13,30,4,8,8,30,30,,Happy
4,8,13,30,31,4,8,8,30,30,,Sad
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,8,13,30,30,0.5,4,13,13,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,45,0.5,8,8,30,30,,Anger
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,8,13,29,30,,Anger
0.5,4,8,13,30,0.5,8,8,26,30,,Anger
4,4,8,30,30,4,5,8,19,30,,Anger
0.5,8,8,30,40,0.5,8,13,30,30,,Anger
4,4,8,30,45,0.5,4,13,13,30,,Anger
0.5,8,13,13,45,0.5,8,8,13,30,,Sad
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,13,30,45,2,8,13,13,30,,Sad
4,8,13,30,30,0.5,8,8,30,45,,Sad
4,8,13,30,30,0.5,4,13,13,45,,Anger
3,8,13,13,30,4,4,13,13,30,,Neutral
4,4,8,14,43,4,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,35,,Neutral
4,8,13,13,45,0.5,8,8,13,30,,Anger
4,4,8,13,45,0.5,8,10,30,45,,Anger
0.5,4,8,13,45,4,4,8,13,30,,Happy
4,6,8,13,30,0.5,6,13,13,30,,Anger
4,8,13,30,30,0.5,8,13,30,45,,Happy
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,8,30,30,,Sad
4,8,13,30,45,0.5,8,8,30,30,,Sad
0.5,4,8,13,30,4,4,13,13,30,,Anger
4,4,8,30,30,2,8,13,13,30,,Anger
4,8,13,13,30,4,8,13,13,44,,Neutral
0.5,4,8,13,45,0.5,8,8,30,30,,Anger
4,8,13,13,30,0.5,8,13,13,30,,Neutral
2,8,13,13,30,4,8,13,13,42,,Neutral
4,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,45,4,4,13,13,45,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,8,8,13,30,,Anger
4,4,8,30,30,0.5,8,8,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,8,15,45,4,8,8,13,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,8,8,13,30,,Happy
4,4,13,30,30,4,8,8,13,30,,Anger
4,8,13,30,45,4,4,8,30,30,,Sad
4,8,8,30,30,4,4,13,13,30,,Happy
0.5,8,12,13,30,0.5,8,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,4,8,30,45,,Sad
0.5,8,13,13,45,4,8,13,30,45,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,8,13,13,30,4,4,13,13,30,,Neutral
4,4,13,30,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,8,8,30,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
0.5,8,13,13,45,0.5,4,8,13,34,,Sad
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,4,8,30,30,4,8,13,30,30,,Anger
0.5,4,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,8,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,0.5,8,8,30,45,,Anger
4,4,8,30,45,4,4,13,13,45,,Anger
4,4,8,30,30,4,4,8,13,30,,Anger
4,4,8,13,30,4,8,13,13,45,,Happy
0.5,4,8,13,30,0.5,8,8,14,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,34,,Neutral
4,4,13,30,30,0.5,8,13,30,30,,Sad
4,4,8,30,30,4,8,13,18,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,4,8,13,30,,Anger
4,4,8,13,45,4,8,13,30,40,,Anger
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
0.5,4,9,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,18,30,,Anger
4,5,13,30,45,4,8,13,30,45,,Anger
4,8,13,30,45,4,8,13,29,30,,Anger
0.5,4,8,13,30,4,8,13,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,8,13,30,30,,Anger
0.5,8,13,13,45,4,4,13,13,30,,Neutral
4,7,8,30,30,4,4,8,13,30,,Anger
0.5,8,13,13,45,4,8,13,13,45,,Neutral
0.5,4,8,13,30,2,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,30,4,8,8,13,30,,Anger
0.5,8,13,13,45,4,8,13,30,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,8,13,36,,Anger
0.5,8,13,13,45,4,4,13,13,30,,Neutral
4,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,8,8,13,45,,Anger
4,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,30,45,,Sad
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,41,4,8,13,13,30,,Neutral
4,4,8,30,30,4,4,13,22,30,,Anger
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,4,8,13,30,4,4,13,30,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,4,13,14,30,0.5,8,8,30,30,,Sad
4,8,13,30,39,4,4,8,13,30,,Anger
0.5,8,8,13,30,0.5,4,8,13,30,,Happy
4,4,8,30,30,0.5,8,11,13,30,,Anger
4,8,13,30,45,0.5,8,13,30,30,,Sad
4,8,13,13,30,0.5,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,45,0.5,4,8,13,30,,Anger
4,8,13,30,30,0.5,8,13,30,30,,Sad
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,13,13,45,4,8,13,13,30,,Neutral
4,4,8,23,30,0.5,4,8,13,38,,Anger
0.5,4,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,13,13,43,4,8,13,27,30,,Sad
4,8,13,30,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,45,0.5,8,13,30,30,,Sad
0.5,4,8,13,45,4,8,13,13,45,,Sad
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,8,8,13,45,,Anger
4,4,8,23,30,4,4,8,13,30,,Anger
4,8,13,13,45,0.5,8,13,13,30,,Neutral
4,8,13,30,30,4,8,8,30,45,,Happy
4,4,8,14,30,4,4,13,30,30,,Happy
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,45,0.5,4,13,13,45,,Sad
4,4,8,14,30,4,8,13,30,30,,Anger
4,4,8,21,30,4,4,13,13,30,,Happy
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,30,45,,Happy
4,8,13,30,30,0.5,8,8,13,45,,Anger
0.5,4,8,13,30,0.5,4,8,30,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,8,13,30,45,4,8,13,30,45,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,0.5,4,8,13,45,,Anger
0.5,4,8,13,32,0.5,4,8,30,30,,Anger
0.5,8,13,13,45,4,8,13,30,45,,Anger
4,8,8,30,30,0.5,8,8,13,34,,Anger
0.5,4,8,13,42,4,4,8,13,30,,Happy
0.5,8,13,13,30,4,4,8,13,30,,Happy
4,8,13,30,30,4,8,13,26,30,,Sad
0.5,8,12,13,45,0.5,4,8,13,45,,Sad
4,8,13,30,30,0.5,8,8,30,30,,Sad
0.5,4,13,13,45,4,4,13,13,30,,Neutral
4,4,13,30,30,4,8,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,8,8,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,36,0.5,4,8,27,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,35,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
2,8,13,13,34,0.5,4,13,13,30,,Neutral
4,8,13,13,45,4,8,13,30,30,,Happy
4,8,13,28,30,0.5,4,8,16,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,30,4,8,13,13,30,,Neutral
4,8,13,30,45,4,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,8,13,14,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,45,4,8,13,13,45,,Neutral
4,4,13,13,30,0.5,8,13,13,30,,Neutral
0.5,4,8,18,43,4,4,8,13,45,,Happy
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,4,8,21,30,4,4,13,13,30,,Happy
4,4,8,13,45,0.5,8,13,30,30,,Anger
4,8,8,30,30,0.5,8,13,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,45,4,8,13,30,45,,Happy
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,30,4,4,13,13,36,,Sad
0.5,4,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,26,30,4,4,8,30,30,,Anger
4,8,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,4,8,13,30,32,,Anger
4,8,12,13,45,4,5,13,13,30,,Sad
4,4,8,30,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,30,30,,Anger
4,8,13,30,30,0.5,8,13,30,30,,Sad
4,8,13,30,35,4,4,13,30,30,,Sad
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,8,13,30,30,0.5,8,13,30,45,,Happy
4,8,13,13,45,4,4,13,13,30,,Neutral
4,8,8,30,45,0.5,8,8,30,41,,Anger
4,4,8,30,45,2,8,8,13,30,,Anger
0.5,4,8,13,45,2,4,8,17,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,30,4,8,13,13,44,,Neutral
0.5,8,13,13,37,4,4,8,13,45,,Happy
0.5,4,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,4,8,13,30,4,4,13,13,30,,Anger
4,8,13,30,30,4,8,8,30,30,,Sad
0.5,8,13,13,30,0.5,8,8,13,30,,Anger
4,4,8,30,33,4,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,45,4,4,8,13,30,,Happy
0.5,4,8,13,33,1,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,30,0.5,8,13,13,30,,Sad
0.5,8,12,13,30,4,4,8,22,30,,Happy
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,45,4,8,8,30,33,,Happy
4,8,13,20,30,0.5,4,13,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,8,13,13,30,,Anger
0.5,4,8,13,32,4,4,8,13,30,,Happy
0.5,4,8,13,45,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,8,8,30,30,4,8,13,19,30,,Happy
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,4,8,13,45,4,4,8,13,30,,Happy
0.5,7,13,13,30,0.5,4,13,13,31,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,4,8,15,30,0.5,4,8,13,30,,Anger
4,4,13,30,30,4,8,13,30,30,,Anger
4,4,8,30,30,4,8,10,30,30,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
4,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,45,,Happy
4,4,8,30,43,0.5,8,8,13,45,,Anger
4,4,8,30,45,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,13,30,35,,Anger
4,8,13,13,43,0.5,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,8,13,13,44,,Neutral
1,8,13,18,30,4,8,8,13,30,,Sad
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,17,30,0.5,4,8,30,30,,Anger
4,8,13,25,30,0.5,8,8,30,30,,Sad
0.5,4,8,13,45,4,4,8,13,30,,Happy
4,8,13,30,30,3,4,11,19,30,,Sad
4,4,8,30,30,4,4,8,30,30,,Anger
0.5,8,13,13,35,0.5,4,8,16,30,,Anger
4,8,8,13,45,4,8,13,18,45,,Happy
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,45,0.5,4,8,30,30,,Sad
4,8,13,30,45,2,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,13,30,30,,Anger
0.5,8,10,13,30,4,4,8,13,30,,Happy
4,8,8,30,45,0.5,8,8,30,41,,Anger
4,4,8,30,30,0.5,8,13,13,30,,Anger
4,4,8,13,45,4,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,30,0.5,8,8,30,30,,Sad
4,4,8,30,30,4,4,13,13,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,8,13,30,45,,Anger
0.5,8,13,13,30,4,8,13,30,45,,Anger
0.5,4,13,13,45,4,4,13,13,30,,Neutral
4,8,13,29,45,4,8,13,25,30,,Anger
4,4,8,30,30,4,4,13,30,30,,Anger
4,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,8,13,45,,Anger
4,8,13,30,45,4,4,13,13,30,,Sad
0.5,4,8,13,30,0.5,4,8,13,45,,Happy
0.5,8,13,13,45,4,8,13,30,45,,Anger
4,4,8,30,30,0.5,8,8,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,4,13,13,30,,Neutral
4,4,8,30,30,4,8,8,13,30,,Anger
4,8,13,30,30,0.5,8,8,13,33,,Anger
4,4,8,29,30,4,8,13,13,30,,Anger
0.5,8,13,13,45,0.5,8,13,13,45,,Neutral
0.5,4,13,13,45,0.5,4,13,13,30,,Neutral
4,4,8,14,43,4,8,13,30,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,30,4,8,13,13,37,,Sad
4,4,8,30,45,4,4,13,13,45,,Anger
0.5,8,13,13,45,4,4,13,13,30,,Neutral
4,4,8,30,42,0.5,4,13,13,45,,Anger
2,8,13,13,30,4,8,13,13,42,,Neutral
4,4,8,30,30,0.5,8,8,30,30,,Anger
4,4,8,30,30,4,8,13,20,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,30,4,4,9,13,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
0.5,8,12,13,30,4,4,8,22,30,,Happy
0.5,8,13,13,45,4,8,13,13,45,,Neutral
4,4,8,30,30,0.5,8,13,30,45,,Anger
0.5,4,8,13,32,0.5,8,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,13,13,45,,Sad
0.5,4,8,13,45,0.5,8,8,30,30,,Anger
0.5,8,13,13,30,4,4,8,20,30,,Happy
0.5,4,8,13,30,0.5,4,8,30,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,4,13,13,32,,Neutral
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,34,,Neutral
3,4,8,22,30,4,4,13,13,30,,Happy
0.5,4,8,13,30,4,8,13,13,30,,Anger
4,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
0.5,4,8,13,30,4,4,13,13,30,,Anger
0.5,4,8,13,45,0.5,8,13,13,30,,Anger
4,8,13,30,30,4,8,8,30,41,,Happy
0.5,4,8,13,30,4,4,8,13,30,,Happy
